year,mileageUnformatted,priceUnformatted,trim,vin,dealerName,city,createdAt,estimate_price,discount
2016,92934.0,16184,SE,4T1BF1FK5GU241962,Lexus of Manchester,Bedford,2024-09-10,15226.99067349588,-957.0093265041214
2024,7496.0,31488,SE,4T1G11AK5RU882480,Nucar Toyota of Norwood,Norwood,2024-09-10,29980.998044477263,-1507.0019555227373
2023,39159.0,27478,LE,4T1C11AK9PU770535,Westbrook Toyota,Westbrook,2024-09-10,25786.42298948516,-1691.5770105148404
2022,34968.0,31988,XSE,4T1K61AK2NU718982,Nucar Toyota of Norwood,Norwood,2024-09-10,29780.38648895452,-2207.6135110454816
2021,28815.0,27127,SE,4T1G11BK0MU031159,Balise Honda of West Warwick,West Warwick,2024-09-10,24712.30272901861,-2414.6972709813854
2018,57154.0,21625,LE,4T1B11HK9JU118488,Parkway Toyota of Boston,West Roxbury,2024-09-10,19046.34393343178,-2578.656066568219
2025,5.0,41129,LE,4T1DBADK9SU510318,Stephen Auto Mall,Bristol,2024-09-10,34849.667,-6279.332999999999
2025,3.0,31614,LE,4T1DBADK0SU40D694,Balise Toyota Springfield,West Springfield,2024-09-11,34849.8002,3235.800199999998
2025,3.0,31614,LE,4T1DBADK0SU40B458,Balise Toyota Springfield,West Springfield,2024-09-11,34849.8002,3235.800199999998
2025,3.0,31614,LE,4T1DBADK4SU40F903,Balise Toyota Springfield,West Springfield,2024-09-11,34849.8002,3235.800199999998
2025,3.0,31614,LE,4T1DBADKXSU40D895,Balise Toyota Springfield,West Springfield,2024-09-11,34849.8002,3235.800199999998
2025,6.0,32068,LE,4T1DAACK0SU540795,Toyota of Nashua,Nashua,2024-09-11,34849.6004,2781.600400000003
2019,100273.0,15999,LE,4T1B11HK6KU749927,AutoMax Preowned Marlborough,Marlborough,2024-09-11,17719.766400055545,1720.766400055545
2018,89359.0,19491,XLE,4T1B11HK8JU107238,Ira Toyota of Manchester,Manchester,2024-09-11,20843.508233431778,1352.5082334317776
2025,3.0,34339,SE,4T1DBADK0SU39C969,Balise Toyota Springfield,West Springfield,2024-09-11,35607.7918,1268.791799999999
2025,4.0,37789,XLE,4T1DBADK0SU508621,Nucar Toyota of North Attleboro,North Attleboro,2024-09-11,38791.7509,1002.7508999999991
2025,3.0,35014,SE,4T1DBADKXSU40E464,Balise Toyota Springfield,West Springfield,2024-09-11,35607.7918,593.7917999999991
2025,5.0,39279,XSE,4T1DBADK2SU510502,Ira Toyota of Orleans,Orleans,2024-09-11,39801.1786,522.1785999999993
2021,17452.0,24569,LE,4T1C11AKXMU601877,Toyota of Watertown,Watertown,2024-09-11,24711.086929018617,142.0869290186165
2023,50471.0,25290,LE,4T1R11BKXPU085694,Middletown Toyota,Middletown,2024-09-11,25033.043789485157,-256.9562105148434
2021,48014.0,23764,SE,4T1G11AK9MU444702,Toyota of Watertown,Watertown,2024-09-11,23433.649329018615,-330.3506709813846
2024,9519.0,29654,LE,4T1C11BK6RU109188,Toyota of Watertown,Watertown,2024-09-11,29088.27464447726,-565.7253555227398
2021,30620.0,24500,LE,4T1C11AK6MU604565,Toyota of Nashua,Nashua,2024-09-11,23834.098129018614,-665.9018709813863
2025,5.0,35639,LE,4T1DBADKXSU008515,Toyota of Nashua,Nashua,2024-09-11,34849.667,-789.3329999999987
2022,60969.0,24658,SE,4T1G11AK7NU620700,Toyota of Nashua,Nashua,2024-09-11,23855.19988895452,-802.8001110454788
2021,50063.0,23495,LE,4T1C11BK7MU045929,Copeland Toyota,Brockton,2024-09-11,22539.194329018614,-955.8056709813864
2025,5.0,40179,XLE,4T1DBADK3SU008565,Toyota of Nashua,Nashua,2024-09-11,38791.6843,-1387.3156999999992
2025,3.0,40334,XLE,4T1DBADK3SU41B806,Balise Toyota Springfield,West Springfield,2024-09-11,38791.8175,-1542.1825000000026
2025,3.0,40334,XLE,4T1DBADK6SU41B976,Balise Toyota Springfield,West Springfield,2024-09-11,38791.8175,-1542.1825000000026
2025,3.0,40424,XLE,4T1DBADK2SU42D459,Balise Toyota Springfield,West Springfield,2024-09-11,38791.8175,-1632.1825000000026
2025,3.0,40424,XLE,4T1DBADK7SU41B761,Balise Toyota Springfield,West Springfield,2024-09-11,38791.8175,-1632.1825000000026
2023,28736.0,29300,SE,4T1G11BK3PU073636,Toyota of Nashua,Nashua,2024-09-11,27238.58638948516,-2061.413610514839
2025,5.0,41004,XLE,4T1DBADK0SU509171,Nucar Toyota of North Attleboro,North Attleboro,2024-09-11,38791.6843,-2212.315699999999
2019,36628.0,24998,LE,4T1B11HK9KU822028,McGee Toyota of Hanover,Hanover,2024-09-11,21958.523400055543,-3039.476599944457
2025,5.0,39394,LE,4T1DBADK4SU008719,Canobie Lake Toyota,Salem,2024-09-11,34849.667,-4544.332999999999
2018,56523.0,26998,SE,4T1B11HK2JU643585,Herb Chambers Toyota of Auburn,Auburn,2024-09-11,19846.36013343178,-7151.639866568221
