Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-06,Mitchell Subaru,Canton,2025,2423.0,SE,33186,2260.6198000000004
2025-04-24,Ira Toyota of Danvers,Danvers,2025,5.0,LE,32608,2241.6670000000013
2025-04-23,Ira Toyota of Danvers,Danvers,2025,5.0,LE,32617,2232.6670000000013
2025-04-16,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,LE,32617,2232.3340000000026
2025-04-23,Acton Toyota of Littleton,Littleton,2023,21363.0,SE,25500,2229.62818948516
2025-04-11,Prestige Auto Cars LLC,New Britain,2023,37194.0,XSE,28695,2173.8035894851564
2025-04-23,Drivemax,West Bridgewater,2018,67248.0,XSE,21199,2126.59513343178
2025-04-02,Nucar Toyota of Norwood,Norwood,2019,23836.0,LE,20695,2115.470600055545
2025-04-01,McGee Toyota of Epping,Epping,2025,12006.0,XSE,36903,2098.9119999999966
2025-04-18, Impressive Motors Inc,North Attleboro,2019,121111.0,SE,14995,2094.947200055544
2025-04-10,Empire Ford of New Bedford,New Bedford,2022,57855.0,LE,21230,2074.6006889545206
2025-04-23,Ira Toyota of Danvers,Danvers,2025,5.0,LE,32816,2033.6670000000013
2025-04-15,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,33634,1973.925000000003
2025-04-09,Infiniti of Nashua,Nashua,2023,48119.0,SE,23997,1950.67858948516
2025-04-23,Ira Toyota of Danvers,Danvers,2025,5480.0,XLE,36477,1950.0492999999988
2025-04-05,McGee Toyota of Epping,Epping,2025,1.0,SE,33668,1939.925000000003
2025-04-10,Empire Ford Inc. ,Fall River,2022,60122.0,SE,21990,1921.61008895452
2025-04-28,Huggard & Ewing,Stoughton,2022,64000.0,LE,20995,1900.3436889545192
2025-04-05,McGee Toyota of Dudley,Dudley,2025,5301.0,XSE,37553,1895.4649999999965
2025-04-26,Toyota of Nashua,Nashua,2023,15642.0,XLE,29450,1844.6724894851577
2025-04-26,Stephen Auto Mall,Bristol,2025,5.0,LE,33015,1834.6670000000013
2025-04-12,Windham Auto Sales Incorporated,Derry,2017,119176.0,XLE,14900,1815.6843789703123
2025-04-24,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XLE,37014,1777.6843000000008
2025-04-15,Faith's Toyota,Westminster,2025,5.0,SE,33855,1752.6586000000025
2025-04-24,Mastria Volkswagen of Raynham,Raynham,2022,52972.0,LE,21891,1738.8084889545207
2025-04-11,Westbrook Toyota,Westbrook,2025,4.0,XLE,37069,1722.750899999999
2025-04-09,Arkan Auto Sales,Worcester,2016,138134.0,SE,10500,1716.670673495877
2025-04-13,Ira Toyota of Danvers,Danvers,2022,93315.0,SE,19988,1712.9562889545196
2025-04-23,Copeland Toyota,Brockton,2023,50061.0,SE,24125,1693.3413894851583
2025-04-04,Ira Toyota of Hyannis,Hyannis,2025,5.0,SE,33923,1684.6586000000025
2025-04-10,Westbrook Honda,Westbrook,2022,23808.0,LE,23900,1672.1308889545217
2025-04-09,Stephen Auto Mall,Bristol,2022,33920.0,SE,24000,1656.6632889545217
2025-04-06,Ira Toyota of Danvers,Danvers,2025,5.0,SE,33969,1638.6586000000025
2025-04-02,Woburn Toyota,Woburn,2025,7.0,SE,33972,1635.5253999999986
2025-04-12,Woburn Toyota,Woburn,2025,7.0,SE,33972,1635.5253999999986
2025-04-17,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,33993,1614.791799999999
2025-03-31,Herb Chambers Honda of Seekonk,Seekonk,2023,39160.0,SE,24934,1610.347989485159
2025-04-05,Schaller Honda,New Britain,2021,69853.0,SE,20399,1580.1719290186156
2025-04-13,Bach Motor Cars,Canton,2020,99816.0,SE,16995,1577.6330339624185
2025-04-09,Canobie Lake Toyota,Salem,2017,144045.0,XLE,13500,1559.408978970314
2025-04-24,Irwin Automotive Group,Laconia,2025,10.0,LE,33314,1535.3340000000026
2025-04-11,Nucar Chevrolet of Woburn,Woburn,2020,28269.0,XLE,24988,1533.6889339624177
2025-04-16,Nucar Toyota of Norwood,Norwood,2022,51547.0,SE,22988,1494.7050889545208
2025-04-27,Westbrook Toyota,Westbrook,2025,4.0,SE,34124,1483.7252000000008
2025-04-09,McGee Toyota of Claremont,Claremont,2025,5.0,SE,34139,1468.6586000000025
2025-04-23,Faith's Toyota,Westminster,2025,5.0,XSE,38354,1447.1785999999993
2025-04-23,Ira Toyota of Manchester,Manchester,2022,7468.0,SE,25981,1437.3664889545216
2025-04-24,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,SE,34173,1434.6586000000025
2025-04-16,Nucar Toyota of Norwood,Norwood,2022,52459.0,SE,22988,1433.9658889545208
