Date,Dealer,City,Model Year,Mileage,Trim,Price,Discount
2025-04-02,Nucar Toyota of Norwood,Norwood,2022,29185.0,SE,25988,-15.985711045479547
2025-04-17,Westbrook Toyota,Westbrook,2025,4.0,SE,35628,-20.27479999999923
2025-04-16,Ira Toyota of Danvers,Danvers,2025,5.0,SE,35628,-20.34139999999752
2025-04-10,Ira Toyota of Hyannis,Hyannis,2025,5.0,SE,35648,-40.34139999999752
2025-04-05,"Fortuna Auto Sales, Inc.",Springfield,2018,88620.0,LE,16995,-44.291666568220535
2025-04-04,Ira Toyota of Danvers,Danvers,2025,5.0,SE,35653,-45.34139999999752
2025-04-02,Wakefield Auto Gallery,Wakefield,2018,115197.0,SE,15990,-51.32826656821999
2025-04-02,Romeo Toyota of Glens Falls,Glens Falls,2020,8000.0,LE,24000,-70.41296603758019
2025-04-01,"Auto Gals, Inc.",Fall River,2017,113307.0,SE,13995,-72.46592102968498
2025-04-12,Woburn Toyota,Woburn,2025,7.0,SE,35681,-73.47460000000137
2025-04-15,MINI of Peabody,Peabody,2021,40663.0,SE,23999,-75.77407098138428
2025-04-12,Toyota of Nashua,Nashua,2025,5.0,XLE,38889,-97.3156999999992
2025-04-01,Meadows Motor Cars,East Longmeadow,2021,75759.0,LE,20929,-101.1592709813849
2025-03-31,McGovern Hyundai Route 2,Leominster,2020,80036.0,LE,19240,-108.01056603758116
2025-04-16,Faith's Toyota,Westminster,2025,5.0,XLE,38906,-114.3156999999992
2025-04-24,Tower Auto Sales,Schenectady,2018,168763.0,SE,12490,-118.82386656822018
2025-04-09,Peters Honda of Nashua,Nashua,2024,17963.0,SE,29404,-120.10415552273844
2025-04-23,McGee Toyota of Claremont,Claremont,2025,5.0,XSE,39946,-144.82140000000072
2025-04-23,Copeland Toyota,Brockton,2019,50053.0,SE,21995,-172.58999994445549
2025-04-23,Parkway Toyota of Boston,West Roxbury,2023,51547.0,SE,25910,-190.6262105148417
2025-04-05,Bernardi Toyota,Framingham,2025,10.0,XLE,38988,-196.64869999999792
2025-04-15,CarMax Westborough,Westborough,2021,45302.0,XLE,26998,-199.70577098138529
2025-04-17,Westbrook Toyota,Westbrook,2025,4.0,SE,35826,-218.27479999999923
2025-04-23,Parkway Toyota of Boston,West Roxbury,2022,24397.0,XSE,30718,-233.5849110454801
2025-03-31,Wagner Kia of Shrewsbury,Shrewsbury,2021,54168.0,LE,22500,-234.1986709813864
2025-04-25,Nucar Toyota of Norwood,Norwood,2021,48368.0,LE,22888,-235.9186709813839
2025-04-15,Tasca Toyota Boston,Boston,2023,35938.0,SE,26999,-240.0668105148397
2025-04-17,McGee Toyota of Hanover,Hanover,2025,3.0,SE,35854,-246.2082000000009
2025-04-07,Toyota of Nashua,Nashua,2025,11.0,SE,35854,-246.7410000000018
2025-04-05,Ira Toyota of Danvers,Danvers,2023,25737.0,SE,27687,-248.6802105148417
2025-04-23,Matthew's Nissan of Wellesley,Wellesley,2021,88455.0,SE,20989,-248.721270981383
2025-04-28,Koch Rt. 2 Toyota,Lancaster,2025,2.0,XLE,39044,-252.11589999999703
2025-04-07,Hartford Toyota Super Store,Hartford,2018,111736.0,LE,15668,-256.8172665682214
2025-04-24,Gale Toyota,Enfield,2017,59604.0,LE,16999,-257.8377210296858
2025-04-07,Toyota of Nashua,Nashua,2025,11.0,SE,35869,-261.7410000000018
2025-04-26,Atlantic Toyota,Lynn,2018,46912.0,XLE,23934,-263.521566568219
2025-04-23,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,35116,-266.0665999999983
2025-04-15,Bertera Nissan,Auburn,2022,54206.0,SE,24595,-289.38431104548
2025-04-03,Parkway Toyota of Boston,West Roxbury,2023,54170.0,XSE,30030,-291.7980105148454
2025-04-23,Grieco Toyota,East Providence,2023,26395.0,SE,27688,-293.50301051483984
2025-04-04,AutoMax Preowned Framingham,Framingham,2023,51953.0,SE,25999,-306.6658105148417
2025-04-03,Parkway Toyota of Boston,West Roxbury,2023,52313.0,XSE,30171,-309.1218105148437
2025-04-06,Atamian Honda,Tewksbury,2017,60501.0,LE,16998,-316.577921029686
2025-04-15,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,35939,-331.0749999999971
2025-04-01,Toyota of Dartmouth,N. Dartmouth,2025,10.0,SE,35939,-331.67439999999624
2025-04-03,Bernardi Toyota,Framingham,2025,10.0,SE,35939,-331.67439999999624
2025-04-03,BM Best Auto Sales,Beverly,2016,157933.0,LE,10495,-354.9343265041244
2025-04-06,Ira Toyota of Danvers,Danvers,2025,5.0,XSE,40157,-355.8214000000007
2025-04-24,Lexington Toyota,Lexington,2017,43299.0,LE,18184,-356.9247210296853
2025-04-06,McGee Toyota of Claremont,Claremont,2025,3.0,XSE,40185,-383.68820000000414
2025-03-31,AGM Auto Sales,Malden,2020,57067.0,XSE,25999,-385.76356603758177
2025-04-23,Toyota of Smithfield,Smithfield,2017,81889.0,SE,16401,-386.0271210296851
2025-04-24,Herb Chambers Cadillac of Lynnfield,Lynnfield,2024,15845.0,XLE,32998,-389.0196555227376
2025-04-23,WR Cars Inc,Whitman,2019,74963.0,LE,19800,-394.5875999444579
2025-04-13,Hartford Toyota Super Store,Hartford,2023,34730.0,LE,26479,-397.6056105148418
2025-04-16,Haddad Toyota,Pittsfield,2022,36927.0,SE,25860,-403.6029110454765
2025-04-23,McGee Toyota of Claremont,Claremont,2025,4.0,SE,36012,-404.2747999999992
2025-04-26,Viti Volvo,Tiverton,2022,38235.0,XSE,29988,-425.1957110454823
2025-04-24,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,36034,-426.0749999999971
2025-04-11,Real Motors Inc,Arlington,2018,162000.0,LE,12499,-435.3996665682207
2025-04-26,Viti Volvo,Tiverton,2021,34129.0,XSE,28988,-436.0896709813824
2025-04-09,Tasca Toyota Boston,Boston,2025,6.0,SE,36054,-446.4079999999958
2025-04-13,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,36056,-448.20820000000094
2025-04-16,Riverhead Toyota,Riverhead,2024,14179.0,SE,29995,-459.0897555227384
2025-04-05,Woburn Toyota,Woburn,2025,7.0,XSE,40290,-488.9546000000046
2025-04-24,Wow Toyota of Wallingford,Wallingford,2022,55951.0,LE,23925,-493.59291104548174
2025-04-16,Tasca Toyota Boston,Boston,2018,95537.0,LE,16995,-504.9638665682214
2025-04-17,Nucar Toyota of Norwood,Norwood,2025,3.0,XSE,40312,-510.68820000000414
2025-04-23,Woburn Toyota,Woburn,2025,7.0,XSE,40314,-512.9546000000046
2025-04-23,Ira Toyota of Manchester,Manchester,2018,80879.0,LE,17981,-514.7410665682182
2025-04-17,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,SE,36127,-519.3413999999975
2025-04-09,CarMax Warwick,Cranston,2019,58174.0,XSE,25998,-522.9285999444583
2025-04-02,Ira Toyota of Danvers,Danvers,2022,16197.0,XLE,30547,-525.9592110454796
2025-04-11,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,35379,-529.0665999999983
2025-04-13,Koch Rt. 2 Toyota,Lancaster,2023,13054.0,XLE,31998,-530.9667105148437
2025-04-24,Atlantic Toyota,Lynn,2024,10715.0,XLE,33500,-549.3616555227345
2025-04-09,Romeo Toyota of Glens Falls,Glens Falls,2020,52849.0,LE,21500,-557.3563660375803
2025-04-03,Parkway Toyota of Boston,West Roxbury,2023,55305.0,XSE,30229,-566.3890105148457
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,XSE,40368,-566.5550000000003
2025-04-09,Heritage Truck and Automotive,Londonderry,2018,89000.0,SE,18250,-566.6080665682202
2025-04-23,McGovern Toyota of Portsmouth,Portsmouth,2025,12890.0,XLE,38502,-568.4567000000025
2025-04-24,Toyota of Nashua,Nashua,2023,24315.0,LE,27350,-574.9666105148426
2025-04-11,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,35469,-619.0665999999983
2025-04-23,Wow Toyota of Wallingford,Wallingford,2025,2.0,LE,35469,-619.1331999999966
2025-04-23,McGee Toyota of Claremont,Claremont,2025,2.0,XSE,40421,-619.6215999999986
2025-04-15,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,36249,-641.0749999999971
2025-04-12,Toyota of Dartmouth,N. Dartmouth,2025,1.0,SE,36249,-641.0749999999971
2025-04-09,Ira Toyota of Hyannis,Hyannis,2025,5.0,SE,36249,-641.3413999999975
2025-04-23,Toyota of Dartmouth,N. Dartmouth,2025,10.0,SE,36249,-641.6743999999962
2025-04-25,Koch Rt. 2 Toyota,Lancaster,2024,35068.0,SE,28800,-655.2971555227377
2025-03-31,Rochester Toyota,Rochester,2023,46448.0,LE,25974,-673.0244105148413
2025-04-06,Herb Chambers Honda of Seekonk,Seekonk,2016,80535.0,LE,15968,-673.2275265041244
2025-04-02,Ira Lexus Danvers,Danvers,2024,20412.0,XSE,33988,-673.687555522738
2025-04-15,CarMax Westborough,Westborough,2020,17249.0,LE,23998,-684.3963660375812
2025-04-17,Westbrook Toyota,Westbrook,2025,3.0,SE,36293,-685.2082000000009
2025-04-24,Ira Toyota of Danvers,Danvers,2023,27802.0,SE,27997,-696.2092105148404
2025-04-27,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,40508,-706.8214000000007
2025-04-28,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,35563,-713.0665999999983
2025-04-04,Jaffarian Toyota Volvo,Haverhill,2023,53619.0,XSE,30490,-715.1014105148424
2025-04-25,Toyota of Nashua,Nashua,2025,11.0,SE,36338,-730.7410000000018
2025-04-23,Ira Toyota of Danvers,Danvers,2025,5.0,SE,36339,-731.3413999999975
2025-04-25,United Auto Sales,Providence,2018,106531.0,LE,16495,-737.1642665682193
2025-04-12,Faith's Toyota,Westminster,2016,77501.0,SE,16998,-743.1715265041221
2025-04-24,Copeland Toyota,Brockton,2023,17292.0,LE,27995,-752.2348105148412
2025-04-03,Toyota of Nashua,Nashua,2018,56435.0,LE,19850,-755.7706665682199
2025-04-23,Aldermans Toyota,Rutland,2019,40221.0,LE,22500,-780.7703999444566
2025-04-23,Balise Toyota Springfield,West Springfield,2017,71449.0,SE,17497,-786.723121029685
2025-04-24,Toyota of Nashua,Nashua,2020,132873.0,LE,16400,-786.9547660375811
2025-04-24,Acura of Avon,Canton,2020,60527.0,SE,21995,-805.7195660375801
2025-04-12,Parkway Toyota of Boston,West Roxbury,2022,34876.0,LE,25641,-805.9979110454806
2025-04-15,Ira Toyota of Danvers,Danvers,2016,144311.0,LE,11897,-849.7091265041236
2025-04-16,Ira Toyota of Manchester,Manchester,2025,5.0,SE,36462,-854.3413999999975
2025-04-16,Lee Auto Mall Auburn,Auburn,2023,30347.0,SE,27997,-865.7062105148398
2025-04-09,McGovern Toyota of Portsmouth,Portsmouth,2024,9990.0,SE,30691,-876.1023555227366
2025-04-12,Woburn Toyota,Woburn,2022,54078.0,XSE,29395,-887.3395110454803
2025-04-09,Balise Toyota Springfield,West Springfield,2016,118093.0,LE,13699,-905.5903265041234
2025-04-23,McGee Toyota of Epping,Epping,2025,1.0,XSE,40739,-937.5550000000004
2025-04-23,Gale Toyota,Enfield,2018,98388.0,SE,17999,-940.8488665682198
2025-04-17,Gale Toyota,Enfield,2016,80659.0,SE,16999,-954.494326504122
2025-04-05,Hartford Toyota Super Store,Hartford,2025,3.0,SE,36569,-961.2082000000008
2025-04-04,McGee Toyota of Claremont,Claremont,2025,5.0,SE,36569,-961.3413999999976
2025-04-23,Hoffman Ford,East Hartford,2022,133848.0,SE,20000,-998.5415110454778
2025-04-17,Toyota of Nashua,Nashua,2025,11.0,SE,36609,-1001.7410000000018
2025-04-12,Turnpike Automotive,Methuen,2018,54457.0,SE,20990,-1006.0442665682205
2025-04-23,Westbrook Toyota,Westbrook,2023,32900.0,SE,27988,-1026.73601051484
2025-04-04,Ira Toyota of Manchester,Manchester,2023,22300.0,LE,27981,-1071.767610514842
2025-04-03,CarMax Westborough,Westborough,2019,22165.0,LE,23998,-1076.240799944455
2025-04-18,CarMax South Portland,South Portland,2019,22165.0,LE,23998,-1076.240799944455
2025-04-26,Copeland Toyota,Brockton,2021,89557.0,LE,20995,-1086.1060709813864
2025-04-23,Toyota of Braintree,Braintree,2017,45983.0,SE,19495,-1088.6875210296855
2025-04-11,Lundgren Honda of Auburn,Auburn,2018,142592.0,LE,14449,-1092.8268665682208
2025-04-03,Tasca Toyota Boston,Boston,2021,13180.0,SE,26847,-1093.4062709813843
2025-04-16,Woburn Toyota,Woburn,2022,33617.0,XSE,30985,-1114.6369110454834
2025-04-23,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,SE,36724,-1116.3413999999975
2025-04-12,Atamian Honda,Tewksbury,2017,114215.0,SE,14998,-1135.9387210296843
2025-04-07,AutoFair Honda in Manchester,Manchester,2023,26632.0,SE,28515,-1136.2872105148415
2025-04-13,WS Auto Sales,Castleton On Hudson,2018,60113.0,LE,19990,-1140.7254665682194
2025-04-17,Bristol Toyota,Swansea,2023,12144.0,SE,29495,-1151.3864105148425
2025-04-16,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,40963,-1161.8214000000007
2025-04-24,Nucar Toyota of Norwood,Norwood,2021,59381.0,SE,23844,-1167.3928709813845
2025-04-25,Durand Cadillac,Leominster,2022,35248.0,LE,25990,-1179.7731110454806
2025-04-16,CarMax Manchester,Manchester,2018,72023.0,SE,19998,-1183.9398665682202
2025-04-09,Toyota of Nashua,Nashua,2023,10558.0,SE,29650,-1200.7588105148388
2025-04-03,Westbrook Toyota,Westbrook,2023,24372.0,LE,27979,-1207.7628105148433
2025-04-23,Ira Toyota of Danvers,Danvers,2025,19.0,SE,36827,-1220.2737999999954
2025-04-09,Woburn Toyota,Woburn,2025,15.0,XSE,41033,-1232.4874000000054
2025-04-10,Bernardi Toyota,Framingham,2018,111879.0,SE,17393,-1233.3494665682192
2025-04-25,Balise Nissan of Warwick,Warwick,2017,57044.0,LE,18159,-1247.3417210296866
2025-04-15,Dorman's Auto Sales of Pawtucket,Pawtucket,2017,116093.0,SE,14990,-1253.013521029683
2025-04-01,McGee Toyota of Epping,Epping,2025,20.0,LE,36118,-1269.3320000000022
2025-04-01,Bernardi Toyota,Framingham,2025,10.0,SE,36903,-1295.6743999999962
2025-04-03,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,XSE,41099,-1298.1543999999994
2025-04-12,Toyota of Nashua,Nashua,2024,18184.0,SE,30600,-1330.8227555227386
2025-04-23,Grafton Hill Auto Sales,Worcester,2017,196180.0,LE,8998,-1352.7993210296863
2025-04-12,Ira Toyota of Manchester,Manchester,2025,5.0,SE,36961,-1353.3413999999975
2025-04-01,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,SE,36968,-1360.6743999999962
2025-04-11,Ira Ford Saco,Saco,2022,90732.0,LE,22494,-1379.0075110454782
2025-04-15,Ira Toyota of Manchester,Manchester,2025,6.0,XSE,41233,-1431.887999999999
2025-04-01,Toyota of Dartmouth,N. Dartmouth,2023,24190.0,SE,28988,-1446.6500105148407
2025-04-03,Nucar Toyota of Norwood,Norwood,2025,2.0,XSE,41263,-1461.6215999999986
2025-04-03,Jack Chevrolet,Saco,2024,14174.0,SE,31000,-1463.756755522736
2025-04-13,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,SE,37107,-1499.3413999999975
2025-04-13,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,41308,-1506.8214000000007
2025-04-03,CarMax Westborough,Westborough,2016,104021.0,SE,15998,-1509.403526504124
2025-04-16,Herb Chambers Honda of Burlington,Burlington,2017,78506.0,LE,16998,-1515.710921029684
2025-04-10,Ira Toyota of Danvers,Danvers,2025,5.0,SE,37127,-1519.3413999999975
2025-04-06,Toyota of Nashua,Nashua,2025,1.0,XSE,41333,-1531.5550000000003
2025-04-13,CarMax Manchester,Manchester,2016,104496.0,SE,15998,-1541.0385265041225
2025-04-23,AutoFair Toyota of Tewksbury,Tewksbury,2023,23764.0,SE,29169,-1599.278410514842
2025-04-16,Woburn Toyota,Woburn,2025,15.0,XSE,41401,-1600.4874000000054
2025-04-27,Ira Toyota of Danvers,Danvers,2025,5.0,SE,37215,-1607.3413999999975
2025-04-24,Lia Toyota of Wilbraham,Wilbraham,2021,27885.0,SE,26399,-1624.7592709813837
2025-04-12,CarMax Westborough,Westborough,2017,31957.0,SE,20998,-1657.5559210296851
2025-04-26,Toyota of Dartmouth,N. Dartmouth,2019,31173.0,LE,23988,-1666.1735999444572
2025-04-04,Ira Toyota of Hyannis,Hyannis,2017,184761.0,LE,10100,-1694.2939210296863
2025-04-13,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,37335,-1727.208200000001
2025-04-13,Stephen Auto Mall,Bristol,2022,69899.0,SE,24999,-1738.5381110454764
2025-04-17,Sonia's Auto Sales,Worcester,2016,77608.0,SE,17998,-1750.2977265041227
2025-04-23,Toyota of Dartmouth,N. Dartmouth,2025,10.0,XSE,41559,-1758.1543999999994
2025-04-11,Toyota of Dartmouth,N. Dartmouth,2025,10.0,XLE,40569,-1777.648699999998
2025-04-26,Ira Toyota of Manchester,Manchester,2023,14701.0,SE,29981,-1807.68261051484
2025-04-15,Stephen Auto Mall,Bristol,2025,5.0,LE,36681,-1831.3329999999987
2025-04-18,Nucar Toyota of Norwood,Norwood,2025,3.0,SE,37462,-1854.208200000001
2025-04-10,Top Cars Motor Group,Malden,2021,37851.0,SE,25995,-1884.494870981384
2025-04-03,CarMax Westborough,Westborough,2018,86338.0,LE,18998,-1895.3104665682183
2025-04-13,Nucar Toyota of Norwood,Norwood,2025,3.0,XSE,41753,-1951.688200000004
2025-04-03,Nucar Toyota of North Attleboro,North Attleboro,2025,6.0,XLE,40749,-1957.3822999999973
2025-04-04,Ira Toyota of Danvers,Danvers,2025,5.0,XSE,41772,-1970.8214000000007
2025-04-01,AutoFair Toyota of Tewksbury,Tewksbury,2023,17503.0,SE,29989,-2002.295810514839
2025-04-23,Bernardi Toyota,Framingham,2025,10.0,XLE,40798,-2006.648699999998
2025-04-26,Aldermans Toyota,Rutland,2024,40737.0,XSE,34000,-2039.3325555227384
2025-04-15,Ira Toyota of Danvers,Danvers,2017,90581.0,SE,17477,-2040.9143210296843
2025-04-03,White River Toyota,White River Junction,2025,1.0,XLE,40833,-2041.0492999999988
2025-04-09,FAZZA GROUP,Marlborough,2023,40480.0,SE,28555,-2098.5640105148414
2025-04-24,Nucar Toyota of North Attleboro,North Attleboro,2025,5.0,XLE,40904,-2112.315699999999
2025-04-24,AGM Auto Sales,Malden,2021,56600.0,SE,24999,-2137.178270981385
2025-04-09,Ira Toyota Saco,Saco,2018,153656.0,LE,14762,-2142.689266568221
2025-04-26,Toyota of Nashua,Nashua,2025,1.0,XSE,42033,-2231.5550000000003
2025-04-24,Bernardi Toyota,Framingham,2025,10.0,SE,37864,-2256.674399999996
2025-04-06,Toyota of Nashua,Nashua,2025,1.0,XSE,42092,-2290.5550000000003
2025-04-10,Herb Chambers Toyota of Auburn,Auburn,2022,18865.0,SE,28998,-2338.673711045478
2025-04-18,Gale Toyota,Enfield,2022,26425.0,SE,28499,-2343.169711045477
2025-04-16,Toyota of Nashua,Nashua,2023,37408.0,XSE,33200,-2345.448810514845
2025-04-09,Bernardi Toyota,Framingham,2025,10.0,XLE,41143,-2351.648699999998
2025-04-24,Ira Toyota of Danvers,Danvers,2025,5.0,SE,37978,-2370.341399999997
2025-04-24,CarMax North Attleboro,North Attleboro,2018,90268.0,SE,19998,-2399.0568665682185
2025-04-09,CarMax North Attleboro,North Attleboro,2018,90268.0,SE,19998,-2399.0568665682185
2025-04-18,Nucar Toyota of Norwood,Norwood,2025,3.0,XSE,42238,-2436.688200000004
2025-04-23,Ira Toyota of Hyannis,Hyannis,2025,5.0,XLE,41264,-2472.315699999999
2025-04-27,Somerville Motors,Somerville,2020,117169.0,SE,19900,-2483.076766037578
2025-04-06,Top Cars Motor Group,Malden,2020,57795.0,SE,23995,-2623.768366037581
2025-04-13,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XLE,41429,-2637.315699999999
2025-04-04,Ira Toyota of Danvers,Danvers,2025,5.0,SE,38263,-2655.341399999997
2025-04-23,Toyota of Dartmouth,N. Dartmouth,2025,10.0,XLE,41519,-2727.648699999998
2025-04-10,Ira Toyota of Manchester,Manchester,2025,5.0,XSE,42534,-2732.8214000000007
2025-04-12,Toyota of Nashua,Nashua,2025,1.0,XSE,42599,-2797.5550000000003
2025-04-02,Herb Chambers Toyota of Auburn,Auburn,2022,27000.0,SE,28998,-2880.464711045479
2025-04-25,Bernardi Toyota,Framingham,2025,10.0,XLE,41739,-2947.648699999998
2025-04-24,AutoFair Toyota of Tewksbury,Tewksbury,2025,10.0,XLE,41762,-2970.648699999998
2025-04-25,AutoFair Toyota of Tewksbury,Tewksbury,2025,15.0,XLE,41829,-3037.981700000004
2025-04-06,McGee Toyota of Claremont,Claremont,2025,6.0,XSE,42843,-3041.887999999999
2025-04-12,Ira Toyota of Manchester,Manchester,2025,5.0,XSE,42922,-3120.8214000000007
2025-04-16,Ira Toyota of Manchester,Manchester,2025,6.0,XLE,41913,-3121.382299999997
2025-04-03,Icon Motors Group,Medford,2023,84477.0,LE,25900,-3131.755810514842
2025-04-15,Toyota of Dartmouth,N. Dartmouth,2025,1.0,XLE,41994,-3202.0492999999988
2025-04-05,Hartford Toyota Super Store,Hartford,2025,3.0,XLE,41994,-3202.1825000000026
2025-04-11,Wow Toyota of Wallingford,Wallingford,2025,1.0,XSE,43009,-3207.5550000000003
2025-04-25,Pezzi Auto Sales,Chelsea,2022,37624.0,SE,28650,-3240.023111045477
2025-04-23,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,43103,-3301.8214000000007
2025-04-05,Ira Toyota of Danvers,Danvers,2025,5.0,XSE,43123,-3321.8214000000007
2025-04-10,Charlie's Preowned,Augusta,2024,16110.0,XLE,35995,-3403.668655522735
2025-04-09,Toyota of Nashua,Nashua,2025,5.0,XLE,42218,-3426.315699999999
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,XSE,43243,-3441.5550000000003
2025-04-13,Nucar Toyota of Norwood,Norwood,2025,1.0,XLE,42353,-3561.0492999999988
2025-04-03,McGovern Toyota of Portsmouth,Portsmouth,2025,5.0,XSE,43407,-3605.8214000000007
2025-04-16,Icon Motors Group,Medford,2022,69931.0,SE,26900,-3641.66931104548
2025-04-12,McGee Toyota of Claremont,Claremont,2025,4.0,XLE,42479,-3687.249100000001
2025-04-27,Westbrook Toyota,Westbrook,2025,4.0,XSE,43615,-3813.7548000000015
2025-04-09,Ira Toyota Saco,Saco,2017,68517.0,LE,19990,-3842.443521029685
2025-04-23,Herb Chambers Toyota of Auburn,Auburn,2023,45111.0,SE,29998,-3849.98861051484
2025-04-24,Ira Toyota of Manchester,Manchester,2020,77866.0,SE,23981,-3946.496966037579
2025-04-23,Nucar Toyota of Norwood,Norwood,2025,10.0,XSE,43779,-3978.1544
2025-04-18,Nucar Toyota of Norwood,Norwood,2025,3.0,XLE,42868,-4076.1825000000026
2025-04-27,Icon Motors Group,Medford,2021,59300.0,SE,26900,-4217.998270981385
2025-04-26,Herb Chambers Toyota of Auburn,Auburn,2025,265.0,XLE,42998,-4223.631699999998
2025-04-03,Ira Toyota of Manchester,Manchester,2025,5.0,XSE,44823,-5021.821400000001
2025-04-23,Ira Toyota of Manchester,Manchester,2025,6.0,XSE,44958,-5156.887999999999
2025-04-09,Ira Toyota of Manchester,Manchester,2025,5.0,XSE,45243,-5441.821400000001
2025-04-03,Bernardi Toyota,Framingham,2025,10.0,LE,41304,-6454.665999999997
2025-04-11,Mercedes-Benz of Scarborough,Scarborough,2016,187045.0,LE,14872,-6670.793526504125
2025-04-05,Stephen Auto Mall,Bristol,2025,5.0,LE,41744,-6894.332999999999
2025-04-25,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,41854,-7004.066599999998
2025-04-09,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,41923,-7073.066599999998
2025-04-17,Wow Toyota of Wallingford,Wallingford,2025,1.0,LE,42468,-7618.066599999998
2025-04-05,Stephen Auto Mall,Bristol,2025,5.0,LE,42582,-7732.332999999999
2025-04-05,Stephen Auto Mall,Bristol,2025,5.0,LE,42649,-7799.332999999999
